ID,Course ID,Section ,Semester,CO Total,,,
,,,,CO1,CO2,CO3,CO4
,,,,165,35,50,30
1416455,CSE101,1,Spring,55,26,28,24
1579288,CSE101,1,Spring,45,13,23,23
1528882,CSE101,3,Spring,35,8,13,6
1653725,CSE101,3,Spring,0,0,0,0
1625654,CSE101,1,Spring,58,10,4,24
1669953,CSE101,3,Spring,5,0,0,0
1665555,CSE101,1,Spring,52,19,4,27
1616161,CSE101,3,Spring,85,19,15,0
1633554,CSE101,2,Spring,15,15,0,0
1645333,CSE101,2,Spring,95,27,18,23
1691291,CSE101,2,Spring,56,10,17,30
1662147,CSE101,3,Spring,31,13,4,9
1691483,CSE101,3,Spring,34,27,4,6
1674181,CSE101,3,Spring,54,13,6,11
1641252,CSE101,2,Spring,139,25,22,34
1695837,CSE101,2,Spring,74,9,25,24
1613273,CSE101,1,Spring,26,28,4,12
1612985,CSE101,3,Spring,45,26,21,12
1623112,CSE101,1,Spring,54,28,12,12
1668314,CSE101,2,Spring,22,11,27,11
1622731,CSE101,3,Spring,0,0,0,0
1696326,CSE101,1,Spring,41,29,26,12
1646434,CSE101,1,Spring,22,11,26,12
1614142,CSE101,1,Spring,51,26,26,12
1654432,CSE101,1,Spring,90,18,26,25
1678812,CSE101,3,Spring,27,29,19,23
1614733,CSE101,3,Spring,24,13,9,10
1665491,CSE101,2,Spring,70,26,6,23
1634352,CSE101,3,Spring,79,13,13,12
1661638,CSE101,1,Spring,69,10,13,20
1686272,CSE101,1,Spring,22,24,26,12
1729416,CSE101,3,Spring,78,35,5,19
1763881,CSE101,2,Spring,42,0,0,0
1781682,CSE101,3,Spring,42,21,18,11
1778274,CSE101,1,Spring,46,23,22,27
1795656,CSE101,1,Spring,61,29,19,25
1773277,CSE101,2,Spring,66,31,18,23
1759787,CSE101,2,Spring,48,0,0,0
1743714,CSE101,2,Spring,49,11,12,11
1747457,CSE101,1,Spring,38,12,19,27
1728125,CSE101,2,Spring,75,24,20,11
1783512,CSE101,2,Spring,65,28,28,11
1768463,CSE101,2,Spring,65,27,21,11
1797625,CSE101,2,Spring,89,11,19,11
1754681,CSE101,2,Spring,94,33,29,23
1798883,CSE101,1,Spring,58,12,19,20
1769463,CSE101,2,Spring,20,0,0,0
1766156,CSE101,1,Spring,72,30,6,0
1772947,CSE101,3,Spring,92,27,15,0
1731817,CSE101,2,Spring,134,26,8,34
1752538,CSE101,3,Spring,47,26,18,0
1731852,CSE101,3,Spring,64,11,22,0
1766176,CSE101,3,Spring,95,26,18,0
1715578,CSE101,1,Spring,66,30,26,26
1745484,CSE101,1,Spring,19,0,0,0
1791753,CSE101,2,Spring,123,26,15,34
1742892,CSE101,3,Spring,12,8,2,23
1788337,CSE101,1,Spring,113,13,20,23
1736425,CSE101,3,Spring,125,13,27,9
1728439,CSE101,1,Spring,85,12,20,22
1712983,CSE101,2,Spring,100,10,30,23
1718437,CSE101,3,Spring,112,21,21,19
1784847,CSE101,2,Spring,135,11,27,34
1737824,CSE101,3,Spring,89,35,6,19
1797789,CSE101,3,Spring,35,12,12,9
1728139,CSE101,3,Spring,40,7,14,9
1711619,CSE101,1,Spring,92,11,11,27
1789481,CSE101,2,Spring,140,10,21,34
1711729,CSE101,1,Spring,25,13,6,0
1773384,CSE101,2,Spring,66,11,18,25
1762565,CSE101,2,Spring,75,11,17,31
1898334,CSE101,3,Spring,57,11,26,19
1892367,CSE101,1,Spring,66,29,34,29
1863951,CSE101,3,Spring,109,35,9,20
1835298,CSE101,3,Spring,101,35,5,17
1835874,CSE101,2,Spring,81,11,19,31
1849651,CSE101,3,Spring,75,24,9,12
1872128,CSE101,1,Spring,61,31,24,27
1887973,CSE101,3,Spring,81,10,15,24
1886577,CSE101,2,Spring,88,24,22,30
1877262,CSE101,3,Spring,119,33,9,24
1873255,CSE101,3,Spring,118,32,7,24
1834433,CSE101,2,Spring,140,26,25,31
1868128,CSE101,1,Spring,104,26,27,27
1845457,CSE101,1,Spring,20,0,0,0
1855787,CSE101,2,Spring,83,24,15,23
1893863,CSE101,2,Spring,20,6,0,0
1842333,CSE101,2,Spring,67,25,15,25
