ID,Course ID,Section ,Semester,CO Total,,,
,,,,CO1,CO2,CO3,CO4
,,,,165,35,50,30
1416455,CSE303,1,Summer,55,26,28,24
1579288,CSE303,1,Summer,45,13,23,23
1528882,CSE303,3,Summer,35,8,13,6
1653725,CSE303,3,Summer,0,0,0,0
1625654,CSE303,1,Summer,58,10,4,24
1669953,CSE303,3,Summer,5,0,0,0
1665555,CSE303,1,Summer,52,19,4,27
1616161,CSE303,3,Summer,85,19,15,0
1633554,CSE303,2,Summer,15,15,0,0
1645333,CSE303,2,Summer,95,27,18,23
1691291,CSE303,2,Summer,56,10,17,30
1662147,CSE303,3,Summer,31,13,4,9
1691483,CSE303,3,Summer,34,27,4,6
1674181,CSE303,3,Summer,54,13,6,11
1641252,CSE303,2,Summer,139,25,22,34
1695837,CSE303,2,Summer,74,9,25,24
1613273,CSE303,1,Summer,26,28,4,12
1612985,CSE303,3,Summer,45,26,21,12
1623112,CSE303,1,Summer,54,28,12,12
1668314,CSE303,2,Summer,22,11,27,11
1622731,CSE303,3,Summer,0,0,0,0
1696326,CSE303,1,Summer,41,29,26,12
1646434,CSE303,1,Summer,22,11,26,12
1614142,CSE303,1,Summer,51,26,26,12
1654432,CSE303,1,Summer,90,18,26,25
1678812,CSE303,3,Summer,27,29,19,23
1614733,CSE303,3,Summer,24,13,9,10
1665491,CSE303,2,Summer,70,26,6,23
1634352,CSE303,3,Summer,79,13,13,12
1661638,CSE303,1,Summer,69,10,13,20
1686272,CSE303,1,Summer,22,24,26,12
1729416,CSE303,3,Summer,78,35,5,19
1763881,CSE303,2,Summer,42,0,0,0
1781682,CSE303,3,Summer,42,21,18,11
1778274,CSE303,1,Summer,46,23,22,27
1795656,CSE303,1,Summer,61,29,19,25
1773277,CSE303,2,Summer,66,31,18,23
1759787,CSE303,2,Summer,48,0,0,0
1743714,CSE303,2,Summer,49,11,12,11
1747457,CSE303,1,Summer,38,12,19,27
1728125,CSE303,2,Summer,75,24,20,11
1783512,CSE303,2,Summer,65,28,28,11
1768463,CSE303,2,Summer,65,27,21,11
1797625,CSE303,2,Summer,89,11,19,11
1754681,CSE303,2,Summer,94,33,29,23
1798883,CSE303,1,Summer,58,12,19,20
1769463,CSE303,2,Summer,20,0,0,0
1766156,CSE303,1,Summer,72,30,6,0
1772947,CSE303,3,Summer,92,27,15,0
1731817,CSE303,2,Summer,134,26,8,34
1752538,CSE303,3,Summer,47,26,18,0
1731852,CSE303,3,Summer,64,11,22,0
1766176,CSE303,3,Summer,95,26,18,0
1715578,CSE303,1,Summer,66,30,26,26
1745484,CSE303,1,Summer,19,0,0,0
1791753,CSE303,2,Summer,123,26,15,34
1742892,CSE303,3,Summer,12,8,2,23
1788337,CSE303,1,Summer,113,13,20,23
1736425,CSE303,3,Summer,125,13,27,9
1728439,CSE303,1,Summer,85,12,20,22
1712983,CSE303,2,Summer,100,10,30,23
1718437,CSE303,3,Summer,112,21,21,19
1784847,CSE303,2,Summer,135,11,27,34
1737824,CSE303,3,Summer,89,35,6,19
1797789,CSE303,3,Summer,35,12,12,9
1728139,CSE303,3,Summer,40,7,14,9
1711619,CSE303,1,Summer,92,11,11,27
1789481,CSE303,2,Summer,140,10,21,34
1711729,CSE303,1,Summer,25,13,6,0
1773384,CSE303,2,Summer,66,11,18,25
1762565,CSE303,2,Summer,75,11,17,31
1898334,CSE303,3,Summer,57,11,26,19
1892367,CSE303,1,Summer,66,29,34,29
1863951,CSE303,3,Summer,109,35,9,20
1835298,CSE303,3,Summer,101,35,5,17
1835874,CSE303,2,Summer,81,11,19,31
1849651,CSE303,3,Summer,75,24,9,12
1872128,CSE303,1,Summer,61,31,24,27
1887973,CSE303,3,Summer,81,10,15,24
1886577,CSE303,2,Summer,88,24,22,30
1877262,CSE303,3,Summer,119,33,9,24
1873255,CSE303,3,Summer,118,32,7,24
1834433,CSE303,2,Summer,140,26,25,31
1868128,CSE303,1,Summer,104,26,27,27
1845457,CSE303,1,Summer,20,0,0,0
1855787,CSE303,2,Summer,83,24,15,23
1893863,CSE303,2,Summer,20,6,0,0
1842333,CSE303,2,Summer,67,25,15,25
